X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X94,X95,X96,X97,X98,X99,X100,X101,class
2,18084,9107,20449,2879,851,4947,56317,0,0,3813,0,3200,7102,63419,0,0,20375,3216,47120,0,0,47120,551348,627834,0,32673,-1198009,0,0,13846,2453,16299,63419,119950,108398,-558,0,0,3363,563,2,3923,2909,0,0,551348,2909,-5707,-2959,2960,0,0,77412.85714,-8667,26752,18084,18441.57143,1520.214286,125004.1429,5.32,19.59,9.63,2.78,3.27,2.42,0.47,7.08,-12.11,25.87,-0.01,0.03,0.03,0.22,0.01,1.006667,-13.91,10.93,236.39,245.33,267.64,-6.83,14.08,265.93,119.52,102.91,289.1,74.3,25.7,427.46,0,94.063333,2.2,44.1,11.34,49.76,8.08,35.46,19.97,0
2,974281,204013,3450379,169726,822416,250298,5962201,0,0,102652,2348,106553,512779,6474980,1639272,559111,1022564,67211,3802718,988390,1016359,4819076,1698245,-1301705,70581,84560,1059910,0,0,1611590,44314,1655903,6474980,3233597,2452778,106481,245,0,338017,29136,2893,364260,302153,0,0.18,1698245,302153,-1686338,-255554,26013,1825820,1569,77412.85714,-114503,721712,607207,18441.57143,1520.214286,125004.1429,5.76,20.58,24.15,13.92,11.26,9.34,0.81,6.66,-44.35,17.05,-0.99,0.95,0.95,1.9,0.26,1.006667,10.87,36.39,20.67,12.58,24.59,70.51,92.16,123.78,156.79,144.85,291.02,74.43,25.57,2518.37,192.45,94.063333,0.62,262.89,23.29,40.71,2.2,131.07,155.11,0
2,122516,0,68765,16346,24150,185941,424027,6052,18991,365601,9188,197812,618787,1042814,0,0,28236,4833,100712,0,13479,114191,451620,367647,0,49671,39126,0,0,908063,20560,928623,1042814,226388,179782,-421,-1276,0,-42343,7792,380,-34931,-34575,0,-0.06,451620,-34575,-1354,-23530,23525,-790,179,77412.85714,-25497,147514,122016,18441.57143,1520.214286,125004.1429,-3.29,-3.67,20.59,-17.62,-15.43,-15.27,3.27,37.81,-1.34,0,0,2.01,2.01,0.5,-0.09,1.006667,-9.28,-37.57,-144.46,-281.59,-163.96,-4.82,-5.9,-3.3,421.03,216.6,12.3,10.95,89.05,247.49,0,94.063333,0.22,87.28,274.67,0.61,0.24,40.28,321.66,0
2,42368,30520,186746,3750,22705,36327,415275,0,29100,105535,654,45252,189457,604732,161192,14320,63635,2445,285908,0,2604,288512,283161,146587,0,77392,-190920,0,0,316220,0,316220,604732,456933,397033,4603,0,0,4021,2089,68,6042,4509,0,0.02,283161,4509,-71068,-4535,4739,-522912,-384,77412.85714,-598903,632847,33943,18441.57143,1520.214286,125004.1429,0.51,1.44,13.11,0.88,1.32,0.99,0.44,10.67,-24.86,25.37,-0.25,1.12,1.12,1.61,0.01,1.006667,17.34,-4.56,115.99,-69.9,-77.45,-48.13,4.94,-45.34,145.25,98.75,91.24,47.71,52.29,297.79,55.5,94.063333,0.52,113.99,21.82,4.2,1.46,40.53,95.28,0
2,2976159,54790,1729459,57651,54673,1039195,6077007,765473,97978,2444365,246838,144753,4267648,10344655,3173296,0,1183060,73699,4824000,0,125244,4949244,1471259,678233,0,1073036,1895200,0,252881,5370609,24802,5395411,10344655,10570534,10003372,-1148,23923,0,411976,20237,2342,429871,301548,0,0.21,1471259,238293,56673,-724016,640195,177625,20609,77412.85714,-469109,2273678,1804568,18441.57143,1520.214286,125004.1429,2.44,5.69,5.37,1.7,4.07,2.85,0.17,3.57,1.17,29.85,0.04,3.65,3.65,7.18,0.12,1.006667,-5.73,27.68,-4.37,135.69,114.88,-30.34,6.06,18.55,125.97,102.34,91.73,47.84,52.16,200.48,58.81,94.063333,0.86,44.65,25.53,4.19,1.99,29.18,41,0
2,458278,0,268507,2399,36503,18202,796027,1471107,26056,3074869,82576,1027092,5914665,6710692,0,0,94958,61252,1101890,0,103761,1205650,644764,167480,6410,520074,3276255,0,-7844,4607139,897903,5505042,6710692,1418348,757902,21712,101163,0,612433,3243,506,615170,535727,0,0.66,644764,535772,573323,-19794,99165,-782147,3759,77412.85714,-224860,683138,458278,18441.57143,1520.214286,125004.1429,7.86,9.98,46.56,36.12,43.37,37.77,0.19,8.62,52.03,12.91,0.89,7.15,7.15,2.2,0.79,1.006667,2,-2.07,3.79,6.43,3.03,-1.8,6.12,-2.44,72.24,69.27,21.9,17.97,82.03,174.35,9.16,94.063333,0.21,44.35,6.39,0.44,0.26,33.57,17.17,0
2,189015,19334,687239,16817,28748,412052,1363263,0,2014,96451,9093,7793,142943,1506206,240000,124699,372126,113109,996584,49500,56442,1053026,138756,102532,816,48032,95528,0,0,385664,67516,453180,1506206,724006,623848,14501,0,0,20699,5773,6784,19689,13276,0,0.06,138756,13276,50262,-7003,11149,-13416,0,77412.85714,29840,93010,122850,18441.57143,1520.214286,125004.1429,0.86,2.95,13.83,3.4,2.72,1.83,-0.14,7.52,5.04,32.57,0.36,2.78,2.78,5.22,0.18,1.006667,8.02,-13.91,-44.72,-52.5,-52.86,-1.56,1.29,-16.36,136.79,92.75,232.36,69.91,30.09,476.28,92.1,94.063333,0.47,267.64,194.8,6.36,1.61,167.99,294.46,0
2,164058,0,2372,8228,9968,8055,338200,205646,78725,130839,321135,53967,828582,1166782,0,0,21245,8877,243692,0,18051,261743,297282,564193,0,2953,29958,0,0,894384,10654,905038,1166782,240749,172714,-119,6607,0,27777,54,6,27825,26450,0,0.09,297282,26450,34541,-13171,44239,-16495,0,77412.85714,4874,159185,164058,18441.57143,1520.214286,125004.1429,2.27,2.97,28.26,8.79,11.56,10.99,0.02,18.42,14.17,4.94,0.12,3.01,3.01,0.81,0.07,1.006667,3.86,9.77,14.22,30.35,44.31,3.18,5.95,25.14,138.78,72.39,28.92,22.43,77.57,200.24,0,94.063333,0.21,1.66,19.13,0.55,0.27,38.46,-17.66,0
2,478025,4812,350049,34068,46464,1980412,2905200,42838,210090,349904,208401,34238,1085519,3990719,1236100,0,63383,17796,1483895,125839,130639,1614534,438745,1062456,0,179743,699864,0,-8038,2372769,3416,2376185,3990719,2234135,1319762,51359,0,0,138340,1844,625,139559,108031,0,0.25,438745,117229,291041,-129896,134424,-322600,519,77412.85714,-160937,637388,476450,18441.57143,1520.214286,125004.1429,2.62,4.62,40.93,6.34,6.25,4.84,0.05,31.4,19.61,22.59,0.66,5.41,5.41,5.09,0.32,1.006667,-9.47,-5,4.8,0.02,0.91,3.59,39.08,15.28,195.78,59.26,67.95,40.46,59.54,448.15,58.04,94.063333,0.54,40.74,421.27,4.09,0.95,22.68,439.33,0
2,8578009,12355,3689233,1270046,386006,1694862,16122766,5707955,177833,19411158,7941788,3744398,44331352,60454118,5290288,476127,1866576,496356,16634153,10055295,19268498,35902651,3964492,4319999,4620,2818849,8223328,0,2082998,21414286,3137180,24551467,60454118,8625110,5871436,661995,360655,0,1820309,117630,3577,1934362,1437988,0,0.34,3964492,649159,2031509,-3809113,3586917,-261934,24152,77412.85714,-2015387,9604498,7589111,18441.57143,1520.214286,125004.1429,2.43,5.82,31.93,17.05,22.43,16.67,1.32,6.2,12.21,25.66,0.51,5.4,5.4,2.18,0.37,1.006667,-0.59,-0.12,-9.78,-16.42,-22.31,30.53,3.79,45.47,96.93,76.34,146.23,59.39,40.61,150.15,93.01,94.063333,0.15,102.95,70.27,0.33,0.35,86.91,86.31,0
2,2095024,1023547,7610270,60644,116230,2223574,13139200,269338,140567,968739,126248,116296,1822897,14962097,1281487,1520336,4836110,41721,8541109,0,230147,8771256,362632,1863895,0,181316,3659574,0,0,6067416,123425,6190841,14962097,21421432,19885386,51356,157868,0,880203,20015,1670,898549,741444,0,1.99,362632,741444,530040,160133,99013,-164374,0,77412.85714,525798,1569226,2095024,18441.57143,1520.214286,125004.1429,5.26,12.61,7.17,3.4,4.19,3.46,0.09,3.35,6.21,17.48,1.46,16.73,16.73,59.07,2.01,1.006667,8.85,1.48,6.23,22.34,25.26,4.64,15.26,-3.84,153.83,126.98,141.68,58.62,41.38,565.38,45.86,94.063333,1.52,99.45,32.65,18.23,3.64,60.91,71.2,0
2,1329914,16763,184310,21187,65012,1849999,3511288,57705,420246,47050,0,5273,579091,4090379,118682,0,161757,669504,1489470,152635,163316,1652786,1011660,978245,0,40824,527787,0,8161,2566677,-129082,2437593,4090379,1744462,1266494,-11917,625,0,312371,5640,115,317895,236863,0,0.23,1011660,234146,551102,-141,837,-397151,276,77412.85714,154084,1169756,1323840,18441.57143,1520.214286,125004.1429,5.73,10.21,27.4,17.6,18.22,13.58,0.32,2.73,37,25.49,0.54,2.54,2.54,1.72,0.3,1.006667,8.47,-17.17,-3.03,0.45,1.22,-9.55,14.31,-5.82,235.74,107.22,67.8,40.41,59.59,5505.27,12.33,94.063333,0.42,26,430.7,35.15,0.75,48.74,407.97,0
2,990303,1121861,1235811,33867,64313,560778,4046252,2234305,78497,1639892,258999,292556,4641579,8687831,85000,553312,1163294,6329,2227411,0,836313,3063724,1293252,529295,12052,355850,2826158,0,-346,5016260,607847,5624107,8687831,4147892,3429866,-8138,378388,0,506210,60275,20713,545772,525978,0,0.4,1293252,526113,315979,55755,256302,-304552,413,77412.85714,67594,922709,990303,18441.57143,1520.214286,125004.1429,6.27,9.63,17.31,3.19,13.16,12.68,0.95,13.69,14.19,3.63,0.24,3.88,3.88,3.21,0.1,1.006667,31.75,24.78,15.28,34.63,37.66,17.03,12.39,36.5,181.66,154.69,54.47,35.26,64.74,296.18,13.3,94.063333,0.49,141.89,45.08,2.2,0.76,90.25,96.72,0
2,14623362,0,215145,45062,4497435,38369759,57765434,592409,3708615,679990,0,49451,7111233,64876667,5370000,0,4107956,15671635,29619136,19244791,24193198,53812335,1813732,279672,0,967385,2417133,0,27351,5505274,5559059,11064333,64876667,10381628,7675159,354583,30142,0,872664,13554,2488,883730,571835,0,0.04,1813732,569793,3631526,-1875108,178501,3526127,39,77412.85714,5282583,9260526,14543108,18441.57143,1520.214286,125004.1429,0.95,5.16,26.07,8.37,8.51,5.51,0.11,5.04,12.26,35.29,2,3.04,3.04,5.72,0.48,1.006667,54.94,73.37,813.17,-4.91,-9.05,17.68,-0.54,-29.12,195.03,65.33,486.36,82.95,17.05,5012.65,274.04,94.063333,0.17,4.96,1356.76,16.65,0.94,164.94,1196.77,0
2,615480,5975,272843,126863,44787,313333,1394564,0,138766,111885,745,277032,577418,1971982,44720,4339,143408,133303,397067,0,24133,421200,422254,260712,0,250173,494158,0,2198,1429495,121288,1550782,1971982,1495697,1302667,-6173,0,0,54335,10984,604,64715,49620,0,0.14,422254,49321,-48338,-28401,8509,-134428,4106,77412.85714,-207062,521907,314843,18441.57143,1520.214286,125004.1429,2.42,3.24,12.91,3.6,4.33,3.32,0.69,9.26,-12.17,23.33,-0.11,3.39,3.39,3.54,0.13,1.006667,107.8,97.06,2915.96,4699.5,673.38,50.89,53.5,94.53,351.22,236.69,27.16,21.36,78.64,1376.88,3.16,94.063333,0.73,44.53,66.02,14.78,0.98,29.52,81.02,0
2,27251,0,11736,488,285573,4506,329555,0,0,139,0,120,1209,330764,0,0,3753,0,31111,0,284900,316011,429720,131899,0,9817,-556682,0,0,14753,0,14753,330764,77970,47728,-129,0,0,5446,2013,38,7422,5137,0,0.01,429720,5137,-43613,-923,924,-49563,0,77412.85714,-94101,121353,27251,18441.57143,1520.214286,125004.1429,1.36,42.15,38.79,7.7,9.52,6.59,2.53,28.82,-140.19,30.8,-0.1,0.03,0.03,0.18,0.01,1.006667,53.77,45.22,135.94,148.6,133.63,-20.01,107.65,-99.95,1059.29,1043.24,2142.01,95.54,4.46,10613.67,0,94.063333,0.21,25.59,22.35,1121.87,6.4,14.59,33.35,1
2,1410261,458693,5855022,1509946,254800,4564913,14521865,35109,0,404724,0,53625,1466443,15988308,3916462,2698024,3341115,708797,11756052,1460000,1652511,13408564,654070,2380628,0,65739,-545420,0,21643,2576659,3085,2579744,15988308,23822318,22555506,249789,217569,0,362801,44898,13754,393946,333388,0,0.57,585658,355032,967280,-1698990,37366,1938924,23702,77412.85714,1230915,114346,1345261,18441.57143,1520.214286,125004.1429,4.06,24.1,5.32,0.31,1.65,1.4,0.13,3.89,8.23,15.37,1.65,3.94,3.94,36.42,0.11,1.006667,7079.85,3598.51,856.28,1312.85,1157.36,3489.74,1242.55,612.12,123.53,67.99,519.76,83.86,16.14,998.15,326.56,94.063333,2.9,36.31,28.23,103.46,17.22,20.4,44.13,0
2,188328,0,200145,54911,19221,63757,662209,705101,249767,1050106,766109,1756107,4703027,5365236,648000,109158,305793,154,2140106,844000,1239587,3379693,356174,943854,0,39840,645649,0,25,1985542,0,1985542,5365236,565374,279506,75865,1,0,112258,44222,54,156426,135147,0,0.11,1238558,135172,87464,-1116193,463833,925540,-1,77412.85714,-103191,200112,96919,18441.57143,1520.214286,125004.1429,2.77,7.05,50.56,20.74,27.67,23.9,7.81,15.3,4.09,13.6,0.07,1.6,1.6,0.46,0.09,1.006667,22.84,13.74,-7.54,9.38,11.75,32.27,13.91,54.31,30.94,19.05,170.22,62.99,37.01,155.79,105.54,94.063333,0.12,84.32,65.3,0.34,0.29,330.93,-181.3,0
2,3381606,0,5756,17201,51926,4666049,8487251,134896,518369,277596,0,6338,1246025,9733276,150000,0,87555,4111893,5062815,1360500,1522559,6585374,1141588,242555,0,96273,1074282,0,-93,2504489,643413,3147902,9733276,145447,78178,4267,676947,0,637351,297,93,637554,477841,0,0.42,1141588,477799,2346581,603943,4422,-770638,15,77412.85714,2179900,1189606,3369506,18441.57143,1520.214286,125004.1429,5.9,16.39,46.25,-26.77,438.34,328.53,0.14,62.86,46.35,25.05,2.06,2.19,2.19,0.13,-0.03,1.006667,-4.24,-7.39,-48.13,42574.3,40560.63,75.67,24.7,-3.13,167.64,67.93,209.2,67.66,32.34,1624.09,50.53,94.063333,0.02,8.22,15153.97,0.52,0.05,358.56,14803.63,0
2,948742,0,395306,104732,42809,734070,2767917,20890,3048,1580303,9562,51758,1750664,4518581,1866764,418121,52536,0,3081458,910900,983758,4065216,602763,362771,0,332908,-726581,0,0,571860,-118493,453365,4518581,1206573,1090497,136242,-1629,0,-100588,15728,7844,-92704,-95557,0,-0.11,602763,-95557,134180,-14560,12561,-203683,171,77412.85714,-83893,1016326,932433,18441.57143,1520.214286,125004.1429,-2.1,-19.07,9.62,-8.2,-7.68,-7.92,0.65,6.15,4.35,0,0.22,0.95,0.95,2,-0.16,1.006667,17.12,185.32,74.04,20.62,18.74,-11.98,-64.04,-12.15,89.82,45.01,896.68,89.97,10.03,85.81,760.93,94.063333,0.27,90.72,176.09,0.74,2.41,11.33,255.47,1
2,1963003,0,309334,37817,27149,581076,3679573,0,9020,77681,97599,43797,2580568,6260142,0,0,360750,395905,1164876,0,139011,1303887,326736,4475634,0,5887,100029,0,0,4908285,47969,4956254,6260142,643688,427086,-4526,391,0,124578,36312,948,159942,117172,0,0.48,226513,117172,210984,-1073970,137103,2720440,0,77412.85714,1857452,105550,1963003,18441.57143,1520.214286,125004.1429,3.35,4.58,33.65,20.08,24.85,18.2,5.49,10.13,18.11,26.74,0.93,15.02,15.02,1.97,0.4,1.006667,300.98,545.3,1461.36,2421.55,7573.35,807.35,3241.69,343586.27,315.88,197.4,26.31,20.83,79.17,2827.62,0,94.063333,0.18,65.72,377.8,7.34,0.25,207.99,235.53,0
2,6450270,1160936,11340996,2100741,4202500,17382283,46513597,2023079,506435,21537775,22885021,4841418,71111665,117625262,15093285,1894151,8896484,3725252,44147596,29175066,38776331,82923927,2978364,3134385,0,3203578,16740840,0,1820791,27877958,6823377,34701335,117625262,34982614,28386468,436299,-160072,0,75437,240535,48700,267272,-294162,0,-0.09,2978364,79097,738225,-6419619,5390557,8048490,62297,77412.85714,2429393,3259123,5688516,18441.57143,1520.214286,125004.1429,-0.26,-0.84,18.86,3.85,0.76,-0.84,0.55,13.07,1.67,0,0.25,9.36,9.36,11.75,0.45,1.006667,-22.73,-12.2,-29.7,-89.42,-115.31,14.21,11.63,28.9,105.36,52.89,238.96,70.5,29.5,156.79,153.02,94.063333,0.31,95.75,162.53,0.84,1,85.54,172.73,0
2,12705706,0,1043856,1560005,100006,3058770,18588874,20087,153014,54120,808134,30518,1194630,19783503,408050,600028,1033429,694356,3068948,5776600,5797081,8866029,1337173,8873617,0,188490,510060,0,8084,10917424,50,10917474,19783503,2386439,1912279,54886,-2576,0,187226,2889,1687,188429,131170,0,0.17,771752,129331,-834335,-1378332,1378333,11752944,0,77412.85714,9540276,2557100,12097376,18441.57143,1520.214286,125004.1429,0.99,2.14,19.87,8.17,7.9,5.5,0.05,6.1,-27.19,30.39,-1.08,8.16,8.16,1.78,0.15,1.006667,248.84,65.56,194.19,223.55,316.8,313.74,745.59,1166.88,605.71,451.29,81.21,44.82,55.18,1936.1,62.15,94.063333,0.18,60.44,459.1,4.79,0.39,112.08,407.47,0
